排名,财富 (人民币),姓名,地区,年龄,关联企业,主营行业,行业大类
178,195 亿,徐宇,浙江,47,赫基国际,服装,制造业
178,195 亿,叶澄海、廖清清夫妇,广东,76、70,信立泰,医药,制造业
183,190 亿,曹龙祥家族,江苏,62,济川控股,医药,制造业
183,190 亿,陈志列、王蓉夫妇,江苏,56、/,研祥,特种计算机,互联网
183,190 亿,池宇峰,湖北,48,完美世界,网游、影视娱乐,互联网
183,190 亿,黄柏年,上海,63,外滩中心,房地产,房地产
183,190 亿,黄毅,福建,56,中升,汽车销售,销售业
183,190 亿,季琦,江苏,53,华住,连锁酒店,服务业
183,190 亿,李振国、李喜燕夫妇,河南,51、51,西安隆基,硅材料,制造业
183,190 亿,温鹏程家族,广东,57,温氏,家禽养殖、动物保健,农牧业
191,185 亿,程立力、沈静夫妇,江苏,54、52,立华股份,畜牧,农牧业
191,185 亿,柯尊洪家族,四川,65,康弘药业,制药,制造业
191,185 亿,马秀慧家族,黑龙江,48,欧普照明,节能灯,制造业
191,185 亿,汪立平家族,江苏,53,恒立油缸,高压油缸,制造业
195,180 亿,曹骥、曹政父子,浙江,67、36,杭可科技,锂电池,制造业
195,180 亿,陈爱莲、吴良定夫妇,浙江,61、73,万丰,智能制造、投资,制造业
195,180 亿,程维,江西,36,滴滴出行,生活服务平台,服务业
195,180 亿,傅光明家族,江西,65,圣农,农业,农牧业
195,180 亿,姜滨、胡双美夫妇,山东,53、53,歌尔声学,声学及多媒体产品,互联网
195,180 亿,蒋业华、蒋宇父子,重庆,56、31,华宇,房地产,房地产
